1;2012-10-01
2;2012-10-02
3;2012-10-03
4;2012-10-04
5;2012-10-05
6;2012-10-06
7;2012-10-07
8;2012-10-08
9;2012-10-09
10;2012-10-10
11;2012-10-11
12;2012-10-12
13;2012-10-13
14;2012-10-14
15;2012-10-15
16;2012-10-16
17;2012-10-17
18;2012-10-18
19;2012-10-19
20;2012-10-20
21;2012-10-21
22;2012-10-22
23;2012-10-23
24;2012-10-24
25;2012-10-25
26;2012-10-26
27;2012-10-27
28;2012-10-28
29;2012-10-29
30;2012-10-30
31;2012-10-31
32;2012-11-01
33;2012-11-02
34;2012-11-03
35;2012-11-04
36;2012-11-05
37;2012-11-06
38;2012-11-07
39;2012-11-08
40;2012-11-09
41;2012-11-10
42;2012-11-11
43;2012-11-12
44;2012-11-13
45;2012-11-14
46;2012-11-15
47;2012-11-16
48;2012-11-17
49;2012-11-18
50;2012-11-19
51;2012-11-20
52;2012-11-21
53;2012-11-22
54;2012-11-23
55;2012-11-24
56;2012-11-25
57;2012-11-26
58;2012-11-27
59;2012-11-28
60;2012-11-29
61;2012-11-30
62;2012-12-01
63;2012-12-02
64;2012-12-03
65;2012-12-04
66;2012-12-05
67;2012-12-06
68;2012-12-07
69;2012-12-08
70;2012-12-09
71;2012-12-10
72;2012-12-11
73;2012-12-12
74;2012-12-13
75;2012-12-14
76;2012-12-15
77;2012-12-16
78;2012-12-17
79;2012-12-18
80;2012-12-19
81;2012-12-20
82;2012-12-21
83;2012-12-22
84;2012-12-23
85;2012-12-24
86;2012-12-25
87;2012-12-26
88;2012-12-27
89;2012-12-28
90;2012-12-29
91;2012-12-30
92;2012-12-31
93;2013-01-01
94;2013-01-02
95;2013-01-03
96;2013-01-04
97;2013-01-05
98;2013-01-06
99;2013-01-07
100;2013-01-08
101;2013-01-09
102;2013-01-10
103;2013-01-11
104;2013-01-12
105;2013-01-13
106;2013-01-14
107;2013-01-15
108;2013-01-16
109;2013-01-17
110;2013-01-18
111;2013-01-19
112;2013-01-20
113;2013-01-21
114;2013-01-22
115;2013-01-23
116;2013-01-24
117;2013-01-25
118;2013-01-26
119;2013-01-27
120;2013-01-28
121;2013-01-29
122;2013-01-30
123;2013-01-31
124;2013-02-01
125;2013-02-02
126;2013-02-03
127;2013-02-04
128;2013-02-05
129;2013-02-06
130;2013-02-07
131;2013-02-08
132;2013-02-09
133;2013-02-10
134;2013-02-11
135;2013-02-12
136;2013-02-13
137;2013-02-14
138;2013-02-15
139;2013-02-16
140;2013-02-17
141;2013-02-18
142;2013-02-19
143;2013-02-20
144;2013-02-21
145;2013-02-22
146;2013-02-23
147;2013-02-24
148;2013-02-25
149;2013-02-26
150;2013-02-27
151;2013-02-28
152;2013-03-01
153;2013-03-02
154;2013-03-03
155;2013-03-04
156;2013-03-05
157;2013-03-06
158;2013-03-07
159;2013-03-08
160;2013-03-09
161;2013-03-10
162;2013-03-11
163;2013-03-12
164;2013-03-13
165;2013-03-14
166;2013-03-15
167;2013-03-16
168;2013-03-17
169;2013-03-18
170;2013-03-19
171;2013-03-20
172;2013-03-21
173;2013-03-22
174;2013-03-23
175;2013-03-24
176;2013-03-25
177;2013-03-26
178;2013-03-27
179;2013-03-28
180;2013-03-29
181;2013-03-30
182;2013-03-31
183;2013-04-01
184;2013-04-02
185;2013-04-03
186;2013-04-04
187;2013-04-05
188;2013-04-06
189;2013-04-07
190;2013-04-08
191;2013-04-09
192;2013-04-10
193;2013-04-11
194;2013-04-12
195;2013-04-13
196;2013-04-14
197;2013-04-15
198;2013-04-16
199;2013-04-17
200;2013-04-18
201;2013-04-19
202;2013-04-20
203;2013-04-21
204;2013-04-22
205;2013-04-23
206;2013-04-24
207;2013-04-25
208;2013-04-26
209;2013-04-27
210;2013-04-28
211;2013-04-29
212;2013-04-30
213;2013-05-01
214;2013-05-02
215;2013-05-03
216;2013-05-04
217;2013-05-05
218;2013-05-06
219;2013-05-07
220;2013-05-08
221;2013-05-09
222;2013-05-10
223;2013-05-11
224;2013-05-12
225;2013-05-13
226;2013-05-14
227;2013-05-15
228;2013-05-16
229;2013-05-17
230;2013-05-18
231;2013-05-19
232;2013-05-20
233;2013-05-21
234;2013-05-22
235;2013-05-23
236;2013-05-24
237;2013-05-25
238;2013-05-26
239;2013-05-27
240;2013-05-28
241;2013-05-29
242;2013-05-30
243;2013-05-31
244;2013-06-01
245;2013-06-02
246;2013-06-03
247;2013-06-04
248;2013-06-05
249;2013-06-06
250;2013-06-07
251;2013-06-08
252;2013-06-09
253;2013-06-10
254;2013-06-11
255;2013-06-12
256;2013-06-13
257;2013-06-14
258;2013-06-15
259;2013-06-16
260;2013-06-17
261;2013-06-18
262;2013-06-19
263;2013-06-20
264;2013-06-21
265;2013-06-22
266;2013-06-23
267;2013-06-24
268;2013-06-25
269;2013-06-26
270;2013-06-27
271;2013-06-28
272;2013-06-29
273;2013-06-30
